Nanometer,Radiance(mW/m2/nm)
199.12,7.38
199.48,7.5
199.84,7.68
200.2,7.79
200.56,7.93
200.92,8.08
201.29,8.37
201.65,8.63
202.01,8.76
202.37,8.8
202.73,8.97
203.09,9.36
203.45,9.71
203.81,10.15
204.17,10.5
204.53,10.9
204.89,11.14
205.24,11.17
205.6,11.15
205.96,11.18
206.32,11.46
206.68,11.99
207.04,12.69
207.4,13.29
207.75,13.79
208.11,14.43
208.47,15.57
208.83,17.53
209.19,19.9
209.54,22.64
209.9,25.45
210.26,27.74
210.61,29.62
210.97,31.44
211.33,34.45
211.68,36.27
212.04,36.58
212.4,34.32
212.75,32.86
213.11,32.61
213.46,34.59
213.82,37.44
214.17,40.81
214.53,42.55
214.88,42.2
215.24,40.24
215.59,38.61
215.95,36.89
216.3,35.75
216.66,34.64
217.01,34.26
217.37,36.05
217.72,40.51
218.07,45.26
218.43,47.56
218.78,47.92
219.13,48.21
219.49,49.68
219.84,52.11
220.19,52.65
220.54,50.23
220.9,45.25
221.25,41.52
221.6,41.82
221.95,45.51
222.31,49.55
222.66,53.56
223.01,58.91
223.36,64.38
223.71,66.66
224.06,65.18
224.41,62.12
224.76,60.04
225.11,57.82
225.47,54.89
225.82,50.8
226.17,46.1
226.52,41.0
226.87,37.17
227.22,37.07
227.56,41.13
227.91,47.42
228.26,52.1
228.61,53.38
228.96,52.18
229.31,49.82
229.66,48.09
230.01,49.16
230.36,52.01
230.7,53.75
231.05,53.13
231.4,50.98
231.75,51.4
232.09,53.09
232.44,53.79
232.79,51.53
233.14,48.73
233.48,45.42
233.83,42.55
234.18,39.37
234.52,38.69
234.87,42.02
235.22,47.94
235.56,51.84
235.91,51.58
236.25,49.08
236.6,48.6
236.94,49.78
237.63,49.01
237.98,45.26
238.32,41.87
238.67,42.93
239.01,44.67
239.36,45.49
239.7,43.63
240.05,41.73
240.39,40.3
240.73,39.63
241.08,41.12
241.42,46.9
241.76,55.74
242.11,63.86
242.45,67.2
243.14,68.52
243.48,66.8
243.82,65.58
244.16,64.91
244.5,62.75
246.21,46.8
246.55,48.14
246.89,50.82
247.24,53.37
247.58,53.83
247.92,51.71
248.26,47.76
248.6,43.79
248.94,43.58
249.28,48.19
249.62,55.5
249.96,60.47
250.3,60.95
250.64,57.92
250.97,53.7
251.31,49.34
251.65,44.63
251.99,41.53
252.33,40.35
252.67,41.74
253.01,44.47
253.34,48.35
253.68,51.81
254.02,54.48
254.36,56.32
254.7,59.96
255.03,66.03
255.37,74.75
256.04,88.55
256.38,95.31
256.72,106.89
257.05,117.08
257.39,123.89
257.73,126.76
258.06,127.38
258.4,127.37
258.73,124.95
259.07,120.35
259.4,109.79
259.74,99.49
260.07,88.94
260.41,86.59
260.74,84.26
261.08,82.91
261.41,83.96
261.75,92.79
262.08,101.24
262.41,104.71
262.75,101.6
263.08,107.88
263.42,136.46
263.75,186.14
264.08,231.56
264.41,250.94
264.75,247.63
265.08,241.77
265.41,248.06
265.75,259.96
266.08,262.16
266.41,253.74
266.74,246.24
267.07,248.79
267.4,252.93
267.74,254.67
268.07,253.82
268.4,250.91
268.73,247.3
269.06,243.14
269.39,241.29
269.72,248.23
270.05,263.37
270.38,274.23
270.71,275.88
271.04,265.44
271.37,245.07
271.7,219.15
272.03,196.9
272.36,193.17
272.69,209.5
273.02,225.33
273.35,218.97
273.68,192.49
274.01,161.31
274.33,139.53
274.66,135.91
274.99,143.21
275.32,163.34
275.65,189.24
275.97,218.42
276.3,239.44
276.63,253.48
276.96,257.46
277.28,252.94
277.61,235.2
277.94,209.47
278.26,182.51
278.59,159.03
278.92,136.13
279.24,110.17
279.57,88.36
279.89,77.53
280.22,80.46
280.54,97.16
280.87,126.36
281.2,165.18
281.52,206.84
281.85,244.31
282.17,272.58
282.49,294.12
282.82,309.07
283.14,316.49
283.47,318.71
283.79,313.24
284.12,296.88
284.44,262.76
284.76,208.83
285.09,158.29
285.41,145.13
285.73,181.24
286.06,247.34
286.38,305.25
286.7,341.54
287.02,358.77
287.35,360.36
287.67,336.73
287.99,308.82
288.31,301.22
288.63,329.89
288.95,376.94
289.28,426.8
289.6,476.14
289.92,534.58
290.24,583.91
290.56,606.78
290.88,607.57
291.2,596.05
291.52,584.08
291.84,569.63
292.16,545.86
292.48,521.59
292.8,520.71
293.12,534.96
293.44,543.95
293.76,535.16
294.08,518.71
294.4,507.14
294.72,511.42
295.03,518.86
295.35,532.02
295.67,556.11
295.99,569.54
296.31,544.19
296.63,496.71
296.94,456.78
297.26,472.21
297.58,518.86
297.9,532.31
298.21,494.46
298.53,455.21
298.85,452.34
299.16,490.11
299.48,505.18
299.8,474.57
300.11,433.21
300.43,411.46
300.74,420.86
301.06,456.76
301.38,474.06
301.69,454.19
302.01,431.33
302.32,442.44
302.64,499.22
302.95,583.3
303.27,634.03
303.58,635.87
303.89,615.37
304.21,597.49
304.52,600.55
304.84,630.03
305.15,641.01
305.46,617.33
305.78,586.43
306.09,558.24
306.4,556.42
306.72,582.34
307.03,608.39
307.34,626.39
307.65,639.75
307.97,641.86
308.28,643.23
308.59,633.91
308.9,601.99
309.22,555.44
309.53,506.66
309.84,493.15
310.15,530.16
310.46,612.81
310.77,713.62
311.08,785.79
311.39,787.75
311.7,747.83
312.01,707.35
312.32,686.58
312.63,693.5
312.94,709.22
313.25,717.64
313.56,733.57
313.87,735.19
314.18,712.38
314.49,681.78
314.8,667.11
315.11,680.64
315.42,677.99
315.73,629.66
316.03,583.21
316.34,586.39
316.65,653.73
316.96,743.86
317.27,806.32
317.57,805.54
317.88,746.6
318.19,679.39
318.5,663.94
318.8,683.06
319.11,704.93
319.42,713.08
319.72,730.76
320.03,780.3
320.34,833.88
320.64,828.41
320.95,770.81
321.25,711.02
321.56,690.61
321.86,717.77
322.17,741.96
322.48,720.53
322.78,677.22
323.09,649.33
323.39,655.76
323.69,694.14
324.0,739.64
324.3,776.83
324.61,800.58
324.91,811.14
325.22,841.42
325.52,904.33
325.82,978.64
326.43,1026.5
326.73,1011.03
327.03,998.78
327.34,981.25
327.64,958.42
327.94,936.33
329.45,1089.73
329.75,1147.85
330.05,1141.34
330.36,1093.85
330.66,1039.46
330.96,1000.79
331.26,1000.51
331.56,1017.14
331.86,1010.5
332.16,1007.56
332.46,1004.94
332.76,998.8
333.06,997.34
333.36,977.93
333.66,954.02
333.96,957.57
334.26,984.62
334.56,1008.67
334.86,1019.31
335.15,1037.82
335.45,1030.18
335.75,985.19
336.05,931.77
336.35,870.06
336.65,846.17
336.94,857.99
337.24,870.98
337.54,891.54
337.84,937.1
338.13,972.39
338.43,980.03
338.73,994.17
339.02,1008.07
339.32,999.49
339.62,1018.77
339.91,1067.98
340.21,1104.44
340.51,1087.04
340.8,1033.34
341.1,979.85
341.39,958.59
341.69,973.71
341.98,998.18
342.28,1029.69
342.57,1056.07
342.87,1068.78
343.16,1082.46
343.46,1068.72
343.75,975.84
344.05,866.82
344.34,814.39
344.38,916.96
345.46,966.39
346.53,985.24
347.61,968.1
349.76,1005.55
350.83,1078.2
351.91,1023.15
352.98,1035.92
354.06,1158.12
355.13,1162.8
356.2,1048.19
357.28,908.62
358.35,824.35
359.42,1023.59
360.49,1058.22
361.57,984.43
362.64,1074.9
363.71,1096.63
364.78,1120.41
365.85,1262.89
366.92,1296.79
367.99,1227.01
369.06,1247.5
370.13,1280.71
371.19,1230.0
372.26,1160.33
373.33,1029.41
374.4,966.42
375.47,1073.67
376.53,1148.93
377.6,1321.84
378.67,1320.88
379.73,1151.14
380.8,1231.35
381.86,1018.48
382.93,773.43
383.99,835.17
385.06,1048.74
386.12,1036.49
387.18,1066.4
388.25,1030.3
389.31,1157.32
390.37,1269.99
391.43,1330.14
392.5,1025.04
393.56,689.96
394.62,1089.54
395.68,1248.71
396.74,835.17
397.8,1196.46
398.86,1628.07
399.92,1734.38
400.98,1797.92
402.04,1881.96
403.1,1836.73
404.15,1788.64
405.21,1737.35
406.27,1663.39
409.44,1721.78
410.5,1583.17
413.66,1771.99
414.72,1762.13
415.77,1763.9
416.83,1788.78
417.88,1713.22
418.93,1749.67
419.99,1715.66
421.04,1825.44
422.09,1763.19
423.14,1683.15
424.19,1750.75
425.25,1724.9
426.3,1731.03
427.35,1645.09
428.4,1656.42
429.45,1497.55
430.5,1236.01
431.55,1542.01
432.6,1699.47
433.65,1652.05
434.69,1613.33
435.74,1774.12
436.79,1851.48
437.84,1730.22
438.88,1678.1
439.93,1823.29
440.98,1846.74
442.02,1955.54
443.07,1953.96
444.11,1958.66
445.16,1943.52
446.2,1859.16
447.25,1999.92
448.29,2026.49
449.34,2027.19
450.38,2128.2
451.42,2143.8
452.46,2032.87
453.51,1974.03
454.55,2065.35
455.59,2071.23
456.63,2130.29
457.67,2117.36
458.71,2049.37
459.75,2045.22
460.79,2085.35
461.83,2110.88
462.87,2123.16
463.91,2070.17
464.95,2018.51
465.99,2053.85
467.03,1979.44
468.06,2030.75
469.1,2040.35
470.14,1977.21
471.18,1994.41
472.21,2104.23
473.25,2043.71
474.28,2096.99
475.32,2101.69
476.35,2052.39
477.39,2111.71
478.42,2107.2
479.46,2102.24
480.49,2087.7
481.52,2100.21
482.56,2075.89
483.59,2044.26
484.62,2015.88
485.65,1803.03
486.69,1713.13
487.72,1911.44
488.75,1928.42
489.78,2026.38
490.81,2024.79
491.84,1915.0
492.87,1959.68
493.9,1966.72
494.93,2037.81
495.95,1980.62
496.98,2008.5
498.01,1945.63
499.04,1936.22
500.07,1933.76
501.09,1856.89
502.12,1866.73
503.14,1949.82
504.17,1895.54
505.2,1972.79
506.22,2025.31
509.3,1925.83
510.32,1886.25
511.34,1932.24
512.37,1912.35
513.39,1860.8
514.41,1827.88
515.43,1865.84
516.46,1731.09
517.48,1620.62
518.5,1680.97
519.52,1799.12
520.54,1828.57
521.56,1860.44
522.58,1815.37
523.6,1852.34
524.62,1909.16
525.64,1874.55
526.66,1689.5
527.67,1771.1
528.69,1889.98
529.71,1882.45
530.73,1916.35
531.74,1908.22
533.78,1849.88
534.79,1866.26
535.81,1935.56
536.82,1838.03
537.84,1881.07
538.85,1874.68
539.87,1808.46
540.88,1785.13
541.89,1859.82
542.91,1843.83
543.92,1878.12
544.93,1878.18
545.94,1882.46
546.95,1876.0
547.97,1836.8
548.98,1884.52
549.99,1879.56
551.0,1861.38
552.01,1888.95
553.02,1849.92
554.03,1876.58
555.04,1882.89
556.05,1850.62
557.05,1800.09
558.06,1808.16
559.07,1739.88
560.08,1769.94
561.08,1826.23
562.09,1782.71
564.1,1796.74
565.11,1793.25
566.11,1753.66
567.12,1814.06
568.12,1794.37
569.13,1784.08
570.13,1783.8
571.14,1730.81
572.14,1827.49
573.14,1841.29
574.15,1836.36
575.15,1795.26
576.15,1790.05
577.15,1816.01
578.15,1772.67
579.15,1778.3
580.15,1801.76
581.15,1799.4
582.15,1823.45
583.15,1825.76
584.15,1821.53
585.15,1786.45
586.15,1754.09
587.15,1799.62
588.15,1779.81
589.15,1615.59
590.14,1706.3
591.14,1760.01
592.14,1773.61
593.13,1756.12
594.13,1774.96
595.12,1754.4
596.12,1763.55
597.11,1776.38
598.11,1746.95
599.1,1747.82
600.1,1742.24
601.09,1719.0
602.08,1698.63
603.08,1740.39
604.07,1753.07
605.06,1747.04
606.05,1728.57
607.05,1733.1
608.04,1708.42
609.03,1698.7
610.02,1686.59
611.01,1697.75
612.0,1688.43
612.99,1678.83
613.98,1644.19
614.97,1670.89
615.96,1619.9
616.94,1604.64
617.93,1658.74
618.92,1657.86
619.91,1673.65
620.89,1685.56
621.88,1656.77
622.87,1655.62
624.84,1623.72
625.82,1621.38
626.81,1667.17
627.79,1673.71
628.78,1670.34
629.76,1643.84
630.74,1641.17
631.73,1609.82
632.71,1643.07
633.69,1621.6
634.67,1631.82
635.66,1627.56
636.64,1621.95
637.62,1647.11
638.6,1641.4
639.58,1605.07
640.56,1593.58
641.54,1586.33
642.52,1602.68
643.5,1595.96
644.48,1597.42
645.46,1582.34
646.43,1582.56
647.41,1593.35
648.39,1595.03
649.37,1531.99
650.34,1591.1
651.32,1605.48
652.3,1579.08
653.27,1566.51
654.25,1549.99
655.22,1500.44
656.2,1271.32
657.17,1421.29
658.15,1528.21
659.12,1524.49
660.09,1541.46
661.07,1545.96
662.04,1558.04
663.01,1530.7
663.98,1520.68
664.96,1536.09
665.93,1528.35
666.9,1517.83
667.87,1516.86
668.84,1530.98
669.81,1516.61
670.78,1513.7
671.75,1503.91
672.72,1499.42
673.69,1492.54
674.66,1487.61
675.62,1486.35
676.59,1486.16
677.56,1483.45
678.53,1479.48
679.49,1477.38
680.46,1476.17
681.43,1473.87
682.39,1470.05
683.36,1461.78
684.32,1449.7
685.29,1446.87
686.25,1457.1
687.21,1462.28
688.18,1462.52
689.14,1469.1
690.1,1475.55
691.07,1469.48
692.03,1458.55
692.99,1458.58
693.95,1461.51
694.91,1443.36
695.88,1452.49
696.84,1452.38
697.8,1422.52
698.76,1458.06
699.72,1449.55
700.68,1426.66
701.64,1419.93
702.59,1426.56
